01-03-2023;5,4;10,2;7,8
02-03-2023;4,8;9,6;7,2
03-03-2023;3,2;8,1;5,7
04-03-2023;2,6;7,5;5,0
05-03-2023;1,9;6,9;4,4
06-03-2023;2,3;7,2;4,8
07-03-2023;3,7;8,7;6,2
08-03-2023;4,5;9,4;6,9
09-03-2023;5,2;10,1;7,6
10-03-2023;6,1;11,0;8,5
11-03-2023;5,9;10,8;8,3
12-03-2023;4,3;9,2;6,7
13-03-2023;3,8;8,7;6,2
14-03-2023;2,9;7,8;5,3
15-03-2023;3,5;8,4;5,9
16-03-2023;4,9;9,9;7,3
17-03-2023;6,2;11,2;8,6
18-03-2023;6,8;11,8;9,2
19-03-2023;5,7;10,7;8,1
20-03-2023;4,6;9,6;7,0
21-03-2023;3,9;8,9;6,3
22-03-2023;3,1;8,1;5,5
23-03-2023;2,5;7,5;4,9
24-03-2023;1,8;6,8;4,2
25-03-2023;2,4;7,4;4,8
26-03-2023;3,6;8,6;6,0
27-03-2023;4,2;9,2;6,6
28-03-2023;5,1;10,1;7,5
29-03-2023;6,3;11,3;8,7
30-03-2023;7,0;12,0;9,4
